"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","477","should allow me to display active items","chromium","Mon Nov 04 08:02:54 GMT 2024","passed","Mon Nov 04 08:02:55 GMT 2024","Routing","tests-examples/demo-todo-app.spec.ts","",""
"","433","should remove the item if an empty text string was entered","chromium","Mon Nov 04 08:02:51 GMT 2024","passed","Mon Nov 04 08:02:52 GMT 2024","Editing","tests-examples/demo-todo-app.spec.ts","",""
"","604","should allow me to display all items","chromium","Mon Nov 04 08:02:56 GMT 2024","passed","Mon Nov 04 08:02:57 GMT 2024","Routing","tests-examples/demo-todo-app.spec.ts","",""
"","469","should be hidden when there are no items that are completed","chromium","Mon Nov 04 08:02:53 GMT 2024","passed","Mon Nov 04 08:02:54 GMT 2024","Clear completed button","tests-examples/demo-todo-app.spec.ts","",""
"","547","should persist its data","chromium","Mon Nov 04 08:02:54 GMT 2024","passed","Mon Nov 04 08:02:54 GMT 2024","Persistence","tests-examples/demo-todo-app.spec.ts","",""
"","503","should allow me to clear the complete state of all items","chromium","Mon Nov 04 08:02:47 GMT 2024","passed","Mon Nov 04 08:02:48 GMT 2024","Mark all as completed","tests-examples/demo-todo-app.spec.ts","",""
"","440","should trim entered text","chromium","Mon Nov 04 08:02:51 GMT 2024","passed","Mon Nov 04 08:02:51 GMT 2024","Editing","tests-examples/demo-todo-app.spec.ts","",""
"","489","should display the correct text","chromium","Mon Nov 04 08:02:52 GMT 2024","passed","Mon Nov 04 08:02:53 GMT 2024","Clear completed button","tests-examples/demo-todo-app.spec.ts","",""
"","553","should allow me to display completed items","chromium","Mon Nov 04 08:02:56 GMT 2024","passed","Mon Nov 04 08:02:56 GMT 2024","Routing","tests-examples/demo-todo-app.spec.ts","",""
"","568","should append new items to the bottom of the list","chromium","Mon Nov 04 08:02:46 GMT 2024","passed","Mon Nov 04 08:02:47 GMT 2024","New Todo","tests-examples/demo-todo-app.spec.ts","",""
"","5618","Enter valid credentials and sign up @smoke","chromium","Mon Nov 04 08:02:41 GMT 2024","passed","Mon Nov 04 08:02:47 GMT 2024","Registration From tests found on the signup/register page @regression ","tests/registrationTests.spec.ts","",""
